,best_offset,best_res,sec_best_res
007c0152242340008ff45781a9b08546,0.0,0.41732283464566927,0.7161854768153981
0091064bdc72469ca7096d3a0db74562,0.0,0.3453068008679994,0.595733875063484
00d5c65d644c4a549e7d501d65397b7b,0.0,0.3055402509947964,0.5164983164983165
00d9de583ea3498db32ee187f6b66dd6,0.0,0.3774666194021033,0.5057899090157155
00dae9818fe74c15897e4e7c52e75294,-11.0,0.3016217388946141,0.5958670065628898
00dd3fdd30ae40628a7a96eea4bc1bf1,0.0,0.33155716502845317,0.44236937403000515
00dfbe92cfd9443987631a3f548f79f1,-12.0,0.40649108805533385,0.47033785581271614
010d11ec37bd468f93af7f87a54e69ac,-12.0,0.5140079540433053,0.6291206363234644
012b6b8de67b4bfa84911e603adabb91,-12.0,0.4655048010212577,0.5643003829716379
012d2f781d0b4efc93e9b888830bee8c,-1.0,0.43557642149191445,0.4964136671883151
014f1aecb83e4edaaa9f9031f1cdcb80,-12.0,0.36167583416123483,0.43395769221449515
015b9edf58af411db9e5ce80ae4a44fe,0.0,0.3239507837518962,0.5319399966290241
018815908bd7487889b55ff8f1c1a201,-23.0,0.3650771123095846,0.3746806698836219
0192c700ba0f4c0cb7acb677a83c9e30,-14.0,0.3595569261753414,0.360752722008937
01e69b29469a4f178a12f4489bf859f0,0.0,0.4560772434683832,0.5364760822920611
01e9b4d2507b4be181d3024e1b173de8,-12.0,0.3377428889858022,0.500799534816107
02378d00cd9d4e7fb382d10b1de6e406,-12.0,0.3559233812200708,0.5898396835311264
02436f7b58db4f889d1adad908f8f32f,-12.0,0.4785246795745841,0.52058903736024
027e784809114a439c5cbf1e6e2b50bd,-12.0,0.3885675577093429,0.5113334375488511
02898c494fc949c5a819503e9df38b3a,-12.0,0.42730267869932675,0.5041302583202024
028f971495ef4cbd99922045bfd59585,0.0,0.4309757136770345,0.4322539412015339
02a5b37cf5e24255979a4ca45a587fe3,-12.0,0.43924755916781677,0.5866175944384808
02a9a45155574d77a41bc7dc8ee5b34c,-12.0,0.48239766081871344,0.6125730994152047
02fc3cf8665b432c9a03970a9e31c23b,-12.0,0.29602055033089514,0.4766631835597353
0314e07bdfe74bfa87cd0b8b9aca3418,-12.0,0.5831517455607585,0.7337382354304789
0317b71c4e844a2d845a7b5a315a9eb4,0.0,0.6070391252349223,0.7232188621219887
032daa690b61406686d283422a1a2e43,0.0,0.6012661512116652,0.6286129417259094
03335ec65d2c45ac99002cb18708846d,0.0,0.3346297107800175,0.500602541630149
03454521a94c4bdcb882bf0dad40250d,11.0,0.5800011540015002,0.6004846806300849
0347cbd924da4a67afd15b10c9f257e1,-12.0,0.32635221271171005,0.5688854489164087
0348e3799c164649bc8bd0da206062f3,0.0,0.3853097841323241,0.5731426969442108
034d75940d064dd3b6ea094e90116e4b,-12.0,0.34660221779926076,0.5778220073926642
03613f7637e84ec8a99708dd0bfe5e5b,-12.0,0.28748428802298437,0.4297899084216197
0379bb70af2f481e8e0a5d6d9b8913a9,-13.0,0.4200725052470903,0.4394581186796413
037e7e90f1b3473e9fb1ab3c91725a51,0.0,0.2648236092265943,0.5522727272727272
037fdd87ed814513aff74fbf1eb86ebb,-12.0,0.4117128154864004,0.570301396716491
03943393154446e28b93c02a01db0a19,-12.0,0.523124659314856,0.6975973835380939
03983453e28b4de7ae24c23233d7ada0,-12.0,0.5731278444352503,0.6423769135291684
03b71e62b82a48dcbaad64cc6d742462,-12.0,0.38748778103616816,0.6649071358748778
03babfb0033c46d88a38e0f6275de5b5,-8.0,0.3083096228204567,0.48756110016779747
03bf00cbf8a446f6b75283bcdd568457,0.0,0.5192507804370448,0.7123706922935668
03ccf382573c4c00a1ffd4b469a4cf90,0.0,0.48805758534191296,0.5973933907732577
04079ffbcfc145cda6537ab1082c84ea,-12.0,0.4387535466197045,0.7107425887877898
040d78f62e584812beb3a8cf98c84bf2,0.0,0.4984738763540607,0.6563528637261357
04112539e45b41b8983fcd82904e3c4f,-12.0,0.556101898833499,0.6743735941831878
046eb308496c4adaa9d3d700b5a92506,-24.0,0.4749738532795458,0.5498281786941581
0486f7fd3ab84e5ba842c85cd9542ea2,0.0,0.2618073931521129,0.3787186272151391
048be1eab34e4481af972c25bf17ccec,-12.0,0.20232882644469039,0.5742193138622913
04c3572ceddc46eb894d3878db555741,-12.0,0.44075039082855655,0.46310578426263677
04deea27687e49d6a0e833504a7dd7df,-12.0,0.1592335861888569,0.21648574417996339
04e641f6b00f49b0bbdcb5c30da7fbbb,0.0,0.41354215183977644,0.5295761527713088
04ea63c2d884424d97a5c46b37d6937e,-19.0,0.44926867835024376,0.44926867835024376
050c5407c3cf421ea65c1d0dbc52137f,-24.0,0.29517421887780143,0.46481269425813837
0556d8af38b84428a46641cfa5ca498a,-12.0,0.3510899786436717,0.45726719587379616
059403b5f82447df8a1b9ceeee262d3e,-12.0,0.46676935364253525,0.5812082834160534
05a7b788e14746c091f41ba7a273f61c,0.0,0.569456733321536,0.6240783342181325
05acae1b8649404d84052f56d0ccff42,0.0,0.4120286056944876,0.6596633056456269
05d128a31ad64acca530cd8f4125a423,-12.0,0.4586016210893114,0.6727520642375577
05f17f5321d549178394cd615230ff1f,0.0,0.3100472471314242,0.5349050236235657
05f72e4b4ba94cfe93f638b3cd71a273,-12.0,0.33087227888567516,0.6279494595828893
06347d299fdd43bf86222ce8d2711c9a,-24.0,0.45943775100401607,0.6158921399885255
063c81d8c4ee4ef58d0737ebb94ea85b,-12.0,0.4645433749780046,0.5923807847967623
063ceff0f06e409c84c5ca6ac92d55d4,-12.0,0.33208817561335546,0.6309260284080428
06476d0a94a1434d8247900394d1fece,0.0,0.3774114145056958,0.47575705535520063
067b73868fd047bb89104f55101a4fc9,-12.0,0.3753729160573267,0.5646095349517403
068462cdc7b24cb3b1327bc6edcdefeb,0.0,0.32765625,0.41354166666666664
068841128b3340a19028a5b6c7ee03fd,-12.0,0.3077104456496109,0.5616599858523933
06897bd0c142496f92cba2cecff4fb6b,-1.0,0.5417136414881624,0.6068463667110793
0692180c5c2f4eaebf23d9775bd0079f,-12.0,0.4874141876430206,0.49623465779072184
069fda8737084ee0936272e704a37266,0.0,0.2662353223100887,0.3767074047447879
06aa4ab824794516a7111289a1a7081e,-11.0,0.33303039115893557,0.34080994619746985
06e8322a90954a028762888dfe3e70cf,-12.0,0.42801873345550806,0.6950213805742211
072dcfaa85e84d8cbac85043d2b0c93f,0.0,0.40914688759516343,0.6560680698611733
073763b611d54b618913a5b74d4a345b,0.0,0.4249602964531498,0.5795835539085936
074c7393dab44a89bb59856c104df6dc,-12.0,0.372053261489042,0.6265478472617999
074e894449f344cfbfff21e454833424,-12.0,0.33073582531758594,0.5986850115670279
0750ef44b1ea4ebc9f44c4b53cd6208e,1.0,0.20855334360958971,0.244268800629694
07521515d24446ce87762eaef5e2e921,-12.0,0.5308730773486776,0.7525727564457232
0754144b35dc4bea98ce02251551f20f,0.0,0.31824004455583405,0.5170147591200223
0754957cf76c411ab9b0f7ebbabd11d9,9.0,0.7601902521352222,0.7783460338566972
07673401011345a78fb966ec924084f0,-12.0,0.3128362125519353,0.4663022086157883
077d26b8424e4fb28b88cabfd45b6a30,-12.0,0.44644002565747276,0.49621552277100706
0781f668bd674beeb40fe99ee414dde6,-12.0,0.3047266800401204,0.5314067201604814
0785cec64b644b3a926f48468fc96489,-13.0,0.4878030303030303,0.6343560606060606
078a3594232b4f66b2fa26a447eee4b0,0.0,0.526516874374602,0.6255799144910398
078c2be841a34b19b9af43f2e09b6463,-12.0,0.3177869227251943,0.8248742569730224
07a37e07ebc04b65b81136f2d9ecd409,0.0,0.4750834199442044,0.6136425797275861
07bd377fbeca4db0a9daacc9617bb6c5,0.0,0.6111674658797491,0.6139339727037993
07f875136c2840ccbf111373a80ba078,-12.0,0.3526407740895041,0.5453120100344936
08062567f7964b5689bf1d931fb3ae3c,0.0,0.3821417736879361,0.6542117504297704
0822467d6ed4432e8e4944361b2897dd,-12.0,0.29100587778640347,0.5615688883959927
08863cf020d24c51bbc118cdf737471b,-12.0,0.4069835680751174,0.586023082942097
08be75dce45742df9a145db57954d933,-12.0,0.3656031823347946,0.7138334145153434
08cf9f8e0f394e1d9e750d773428f2cd,0.0,0.6321139838309453,0.7685904106299528
090d124995974dd29fe528bed4f13a13,0.0,0.23766304843564717,0.4779713582048709
090f82af22054a7190345b7f86fe85ba,-12.0,0.4120654396728016,0.8600318109520564
0911a0b9141b4f599363f348db230113,-12.0,0.3258868295077943,0.5171228673131214
0917181cbad04dfe861798592bfd8221,0.0,0.2135664757310823,0.41139583961410914
092027f232d047d7a15427be1a1cfa7e,-12.0,0.4608168252028973,0.4771795095558077
0925c91ae4a449e88998a65d3ced47d4,-12.0,0.3353282949630859,0.48280983792756976
09292a9d8d6b4e008d270da087dbf51d,-12.0,0.3319615117087874,0.5309529329932762
